,100m,Long.jump,Shot.put,High.jump,400m,f（综合变量，即PCAmix的第一个主要成分的分数）
SEBRLE,-0.345039444,1.135956766,0.936506177,0.864747137,0.325598866,-0.1363147
CLAY,-1.468423682,0.355528453,-0.257696331,-1.463418232,-0.195359319,-1.2599131
KARPOV,-0.425281176,-0.078042831,0.81080065,0.532152084,-1.379355194,-0.5412853
BERNARD,-0.425281176,-0.381542731,-0.278647252,-0.798228126,-0.716317504,-0.5637026
YURKOV,0.858586524,-0.988542529,1.69073934,1.197342189,1.047836349,2.2100909
WARNERS,-0.064193385,1.222671023,-0.152941725,-0.133038021,-1.012316473,-1.1289024
ZSIVOCZKY,0.016048346,-0.078042831,-1.891868183,0.199557032,-1.083356225,-1.3225565
McMULLEN,-1.187577622,-0.034685703,-1.30524239,1.529937242,0.443998453,-1.0872402
MARTINEAU,2.062212493,-2.202542126,0.391782226,-0.465633074,0.716317504,2.7494453
HERNU,0.978949121,1.049242509,0.056567487,-1.463418232,1.852953544,1.0803787
,,,,,,
,,,,,,
SV：( f 的标准差),1.415399239,,,,,
V（载荷标准化）,0.615697496,-0.433860679,0.443459688,-0.005209863,0.485796117,
