image,x,y,width,height,B,G,R,label
1,217.5,223,84,21.22,116.86,129.11,99.75,1
1,114,215,64,22,87.77,99.14,79.36,0
1,394,148,58,28,139.23,148.3,122.06,0
1,366.5,83,69,30,150.26,156.06,139.34,0
2,399.7,383.6,114.16,34.47,50.41,110.57,50.49,0
2,227,200.5,58,19,37.64,64.62,40.02,1
2,297,177,72,24,71.6,100.79,91.51,0
3,285.5,207.5,55,19,153.08,148.87,168.61,1
3,368,11,92,22,170.46,166.73,177.51,0
5,222,199,88,42,121.93,138.89,98.41,1
5,252.13,150.98,127.43,32.63,140.32,148.71,128.41,0
5,76.43,74.35,97.26,42.18,112.64,124.67,91.87,0
6,359.5,467.5,123,23,165.82,173.2,169.95,0
6,255,453.5,66,31,161.45,181.14,177.86,0
6,115.5,397.5,125,51,169.45,145.97,123.64,0
6,251,246,72,18,93.67,97.55,78.53,1
6,267,94,108,46,117.88,123.27,120.61,0
6,79,65.5,60,21,139.67,166.18,140.61,0
6,274.53,37.72,150.14,34.19,128.47,127.58,117.74,0
6,141.5,24,49,24,43.05,64.3,59.54,0
6,442,12.5,74,25,159.82,173.63,160.9,0
7,305.5,300.5,97,29,206.12,222.93,207,0
7,299.5,261,87,38,188.07,224.08,194.36,0
7,242.5,205,59,18,112.16,116,109.26,1
7,201.5,150,51,24,51.57,50.07,19.91,0
8,238.23,209.02,130.07,33.46,89.92,105.65,79.39,1
9,324,398,108,32,127.43,134.91,136.12,0
9,210.5,225.5,75,19,59.47,94.57,59.31,1
10,223.5,452,51,22,85.21,101.33,101.07,0
10,186,229.5,58,19,112.24,114.14,113.33,1
10,242,46.5,58,21,168.77,167.12,166.07,0
11,254,212,60,26,96.74,115.1,106.15,1
12,206,216.5,58,19,93.35,101.4,59.09,1
13,315,458.5,114,27,92.45,112.67,126.6,0
13,226.5,216,57,22,109.34,114.95,77.42,1
13,383.5,20.5,93,41,133.2,137.31,122.09,0
14,290,467.5,48,23,154.28,162.28,139.28,0
14,307.5,435.5,55,21,155.37,163.35,140.41,0
14,324,393.5,76,31,152.81,159.39,140.45,0
14,375.5,328,53,22,137.7,162.87,117.11,0
14,66.36,231.49,136.76,30.1,120.53,157.15,153.54,0
14,249,207,54,22,160.88,165.16,162,1
14,201.5,185,67,20,50.25,110.18,64.27,0
14,434.5,104.5,83,35,117.42,137.05,79.18,0
14,75.46,21.88,143.95,34.59,76.62,126.2,80.7,0
15,240,219.5,62,19,92.94,117.37,75.98,1
16,246.5,209.5,73,19,91.81,90.23,59.28,1
16,163,212,66,26,120.08,112.32,92.06,0
16,441.5,154.5,61,27,106.24,99.94,6.73,0
16,444.5,122,69,24,103.36,98.64,5.67,0
17,232,227.5,62,19,62.85,75.33,34.96,1
17,297.5,205.5,55,23,48.66,73.55,39.73,0
17,430,194,80,32,79.37,101.12,38.6,0
17,212.5,147,75,36,68.53,83.38,69.96,0
18,342.5,397.5,77,33,210.79,210.89,210.79,0
18,278,365,66,24,181.95,184.23,181.65,0
18,265.5,225,111,36,177.23,179.8,159.84,1
19,237.26,396.98,82.25,41.04,90.24,86.95,103.82,0
19,76.1,213.94,93.05,36.76,121.95,134.22,126.99,0
19,269.5,191.5,125,23,136.51,128.54,151.54,1
19,318.6,110.38,107.21,40.3,128.66,120.83,143.35,0
19,173.15,49.93,172.28,40.26,62.14,75.13,64.63,0
20,312,398,74,30,118.91,133.91,152.91,0
20,193,215.5,60,19,153.32,174.78,148.25,1
20,139.5,116,81,24,73.32,106.64,95,0
20,444.98,95.7,114.8,53.05,109.96,126.75,142.08,0
21,197,205.5,64,19,111.31,114.35,75.61,1
22,442.5,463,73,32,133.49,143.16,147.48,0
22,349.5,380.5,75,31,139.43,146.26,153.56,0
22,246.5,211,73,20,116.4,122.76,125.81,1
22,423.44,123.92,117.95,49.63,128.23,120.23,143.23,0
22,69.5,49,91,40,123,118.93,95.45,0
23,219.5,199,71,18,86.08,104.59,78.13,1
24,156.5,374,59,20,104.83,117.12,107.4,0
24,257.5,217.5,79,27,43.1,71.71,52.59,1
25,191.5,437,75,22,41.48,71.77,61.79,0
25,363.5,429.5,55,23,123.88,123.88,123.88,0
25,195.5,211,59,20,127.74,134.51,96.97,1
26,241,222,60,20,127.03,154.23,120.67,1
27,252,212.5,74,17,89.72,104,103.48,1
27,40.5,168.47,81.43,20.78,114.24,132.56,120.63,0
27,182,84.94,112.86,38.99,114.98,130.91,108.14,0
28,223,207,102,40,104.64,110.36,70.15,1
28,216.5,113.5,61,25,62.8,81.66,40.07,0
28,436,102,84,32,57.74,81.66,1.59,0
28,218.5,13,55,26,47.5,69.72,38.52,0
29,224,205.5,72,21,95.46,116.07,85.95,1
29,286,19,92,38,154.12,177.12,173.12,0
30,233,221.5,124,29,79.53,100.17,85.91,1
31,112,454,60,22,7.21,41.84,5.12,0
31,402,395.5,76,17,124.16,162.54,122.1,0
31,237,393,76,24,44.64,69.22,42.73,0
31,363,324,50,22,146.49,164.97,159.85,0
31,262,246,58,20,115.84,142.81,80.32,1
31,250,194.5,66,25,130.6,154.75,139.58,0
31,177.5,92.5,65,29,89.92,103.47,83.37,0
32,261.5,218,67,18,53.53,72.45,50.3,1
33,270.5,212,79,20,105.88,111.63,108.88,1
33,145.5,171.5,99,43,170.86,187.12,181.57,0
34,238,424,50,24,114.18,99.04,146.36,0
34,23.5,244.5,47,23,55.89,69.65,57.32,0
34,302,231,54,20,205.29,189.66,172.45,1
34,127.5,216,61,26,213.75,190.64,177.69,0
34,391.5,183.5,55,19,186.7,170.88,154.23,0
35,266,212.5,60,19,127.65,127.65,127.65,1
36,227.5,465,79,28,95.22,101.2,98.37,0
36,428.75,448.53,108.36,47.41,159.34,170.18,158.17,0
36,67.5,399,115,54,93.58,96.45,98.09,0
36,227.5,228.5,67,19,137.64,153.11,114.97,1
37,263,211,86,20,66.43,83.75,86.88,1
37,310,21,84,36,30.94,53.54,49.62,0
38,253,214,64,20,106.02,105.25,101.49,1
38,345.5,191.5,61,21,166.23,166.23,166.23,0
39,71,317,54,26,217.44,183.67,167.37,0
39,187.36,194.76,122.8,39.64,105.07,98.76,80.02,1
39,440,112,78,32,143.45,149.68,141.1,0
40,43,462,80,22,12.23,20.01,13.01,0
40,373.41,283.63,123.29,46.24,150.45,160.95,137.56,0
40,243.5,219.5,77,21,59.48,83.57,52.19,1
40,343.5,14.5,93,29,157.21,164.49,143.4,0
41,190.5,192.5,61,19,123.13,116.44,82.65,1
42,406.63,367.64,97.9,31.03,151.28,169.97,138.73,0
42,51.5,325,55,22,42.45,95.05,130.91,0
42,195,203,64,22,46.48,63.48,26.14,1
42,127.5,164.5,65,29,62.82,104.49,99.37,0
42,318,106.5,64,29,171.28,171.36,171.12,0
42,93,102.5,68,25,113.32,144.19,107.27,0
43,247.5,210.5,57,19,97.97,94.69,77.45,1
43,74.5,123,61,18,105.87,113.55,112.32,0
44,261.5,225.5,63,21,80.03,88.23,68.16,1
44,293,14.5,64,27,95.2,130.53,95.45,0
45,282,169,76,20,99.71,112.77,118.68,1
45,434.5,141.5,89,27,128.6,130.77,124.47,0
45,320,136,80,22,127.2,128.08,125.5,0
45,132.5,10,61,20,221,222.97,214.15,0
46,257,457.5,56,19,152.71,152.71,152.71,0
46,206,217,58,18,67.58,85.01,99.41,1
