,x,y,w,h,gray,label
2,217.5,223,84,21.22,117.21,1
2,114,215,64,22,91.87,0
2,394,148,58,28,139.23,0
2,366.5,83,69,30,150.26,0
3,399.7,383.6,114.16,34.47,82.56,0
3,227,200.5,58,19,48.23,1
3,297,177,72,24,94.58,0
4,285.5,207.5,55,19,155.16,1
4,368,11,92,22,170.46,0
6,222,199,88,42,124.87,1
6,252.13,150.98,127.43,32.63,141.53,0
6,76.43,74.35,97.26,42.18,109.01,0
7,359.5,467.5,123,23,171.37,0
7,255,453.5,66,31,177.88,0
7,115.5,397.5,125,51,141.95,0
7,251,246,72,18,83.75,1
7,267,94,108,46,121.85,0
7,79,65.5,60,21,156.3,0
7,274.53,37.72,150.14,34.19,124.71,0
7,141.5,24,49,24,60.44,0
7,442,12.5,74,25,168.17,0
8,305.5,300.5,97,29,220.68,0
8,299.5,261,87,38,218.24,0
8,242.5,205,59,18,112.97,1
8,201.5,150,51,24,41.22,0
9,238.23,209.02,130.07,33.46,93.69,1
10,324,398,108,32,134.4,0
10,210.5,225.5,75,19,76.45,1
11,223.5,452,51,22,99.37,0
11,186,229.5,58,19,113.67,1
11,242,46.5,58,21,166.99,0
12,254,212,60,26,109.81,1
13,206,216.5,58,19,76.79,1
14,315,458.5,114,27,102.07,0
14,226.5,216,57,22,92.8,1
14,383.5,20.5,93,41,121.18,0
15,290,467.5,48,23,154.28,0
15,307.5,435.5,55,21,155.37,0
15,324,393.5,76,31,152.81,0
15,375.5,328,53,22,146.14,0
15,66.36,231.49,136.76,30.1,151.89,0
15,249,207,54,22,163.72,1
15,201.5,185,67,20,82.48,0
15,434.5,104.5,83,35,117.42,0
15,75.46,21.88,143.95,34.59,107.13,0
16,240,219.5,62,19,91.89,1
17,246.5,209.5,73,19,80.8,1
17,163,212,66,26,107.11,0
17,441.5,154.5,61,27,72.77,0
17,444.5,122,69,24,71.34,0
18,232,227.5,62,19,57.16,1
18,297.5,205.5,55,23,60.43,0
18,430,194,80,32,79.88,0
18,212.5,147,75,36,77.63,0
19,342.5,397.5,77,33,210.87,0
19,278,365,66,24,183.19,0
19,265.5,225,111,36,172.75,1
20,237.26,396.98,82.25,41.04,92.49,0
20,76.1,213.94,93.05,36.76,130.6,0
